Object_ID, Length, Assignment
scaffold82571-79095,150,NA
scaffold74904-6689,150,NA
scaffold28781-6450,150,NA
scaffold41071-142,150,NA
scaffold26448-1190,150,NA
scaffold94015-54980,150,NA
scaffold68903-204943,150,NA
scaffold124014-31342,150,NA
scaffold90681-60787,150,NA
scaffold68903-59438,150,NA
scaffold74793-146716,150,NA
scaffold106348-43286,150,NA
scaffold40483-855,150,NA
scaffold35462-10,150,NA
scaffold75015-114125,150,NA
scaffold121681-24921,150,NA
scaffold31337-1352,150,NA
scaffold69125-148749,150,NA
scaffold20226-12081,150,NA
scaffold70237-44766,150,NA
scaffold75904-96616,150,NA
scaffold68903-115841,150,NA
scaffold86570-9987,150,NA
scaffold99459-55341,150,NA
scaffold106015-25388,150,NA
scaffold81126-22484,150,NA
scaffold121459-16234,150,NA
scaffold105126-16647,150,NA
scaffold103904-36158,150,NA
scaffold40027-668,150,NA
scaffold72682-152426,150,NA
scaffold95904-37700,150,NA
scaffold135236-27384,150,NA
scaffold129237-9612,150,NA
scaffold97570-25346,150,NA
scaffold8893-9665,150,NA
scaffold111570-19223,150,NA
scaffold89570-4768,150,NA
scaffold101903-19623,150,NA
scaffold73570-50318,150,NA
scaffold110236-24693,150,NA
scaffold71460-125667,150,NA
scaffold89903-4987,150,NA
scaffold74015-149406,150,NA
scaffold99237-68208,150,NA
scaffold89459-44141,150,NA
scaffold105681-2383,150,NA
scaffold40082-861,150,NA
scaffold83237-93591,150,NA
scaffold82015-49929,150,NA
scaffold69125-209660,150,NA
scaffold121347-4069,150,NA
scaffold89237-20072,150,NA
scaffold116348-3532,150,NA
scaffold68792-274764,150,NA
scaffold70793-140574,150,NA
scaffold34337-5489,150,NA
scaffold72349-282,150,NA
scaffold16448-78,150,NA
scaffold85459-33088,150,NA
scaffold110236-7455,150,NA
scaffold93015-50367,150,NA
scaffold76792-31022,150,NA
scaffold124014-2766,150,NA
scaffold2338-28537,150,NA
scaffold101792-9457,150,NA
scaffold82237-49190,150,NA
scaffold78348-17432,150,NA
scaffold83348-51167,150,NA
scaffold91236-3287,150,NA
scaffold72682-52753,150,NA
scaffold91347-64909,150,NA
scaffold73459-15507,150,NA
scaffold78903-94944,150,NA
scaffold130570-16510,150,NA
scaffold42437-2578,150,NA
scaffold42215-752,150,NA
scaffold4004-26627,150,NA
scaffold72237-36546,150,NA
scaffold13893-10804,150,NA
